Q99020|ROAA: 0.14870541744555035
P24527|LKHA4: 0.14856587164103985
Q61166|MARE1: 0.14854468932996193
P35486|ODPA: 0.14841679235299443
Q01097|NMDE2: 0.14830889335523048
Q9WTT4|VATG2: 0.14827832564090687
Q62318|TIF1B: 0.14818196184933186
Q9CQQ7|AT5F1: 0.14791954060395562
Q9JM14|NT5C: 0.14780579352130493
P35803|GPM6B: 0.14774571110804868
P49442|INPP: 0.1477383573849996
Q921G7|ETFD: 0.14713551197201014
Q9D8B4|NDUAB: 0.14712349162437022
Q64010|CRK: 0.14712156914174557
Q9WUR9|KAD4: 0.14696617828061184
Q08642|PADI2: 0.14675325896435729
Q9Z2Q6|SEPT5: 0.14665321757396055
O09111|NDUBB: 0.14635965949855745
O88544|CSN4: 0.14616071370740732
P26883|FKB1A: 0.14575844258069992
Q8BG05|ROA3: 0.145743681738774
Q923T9|KCC2G: 0.1457386223191861
O70133|DHX9: 0.14571062102913857
Q9D8E6|RL4: 0.14565334531168142
Q9CQX8|RT36: 0.14557323189607513
P61089|UBE2N: 0.14518754184246063
P63330|PP2AA: 0.14513609744608402
P62137|PP1A: 0.14509940209488073
Q9CWS0|DDAH1: 0.14507244775692618
Q9Z2U0|PSA7: 0.14497725844072798
P03899|NU3M: 0.14487704169005156
Q99PU5|ACBG1: 0.14421847586830458
O35405|PLD3: 0.1442123007339736
Q9DCJ5|NDUA8: 0.14416543270150817
Q9D023|MPC2: 0.1441539505807062
P20108|PRDX3: 0.1440180869152149
Q6ZWR6|SYNE1: 0.14378218017130473
P19536|COX5B: 0.1437766316036383
Q9QXZ0|MACF1: 0.14372103878607353
P48722|HS74L: 0.14307760850836834
Q99L47|F10A1: 0.14307377797861895
P70372|ELAV1: 0.14304948939631382
Q8C1A5|THOP1: 0.14304621455570063
P18572|BASI: 0.1430220380425453
P63328|PP2BA: 0.14289775739113497
Q9QUI0|RHOA: 0.1425521962422257
Q91YT0|NDUV1: 0.14216157297293353
Q9D164|FXYD6: 0.14207085870051137
Q99KB8|GLO2: 0.14163763138155142
Q99MN9|PCCB: 0.14153632707893848
Q3U0V1|FUBP2: 0.14133449519673982
Q8BP67|RL24: 0.14132453377048174
Q6P9K8|CSKI1: 0.14132319297641516
Q62059|CSPG2: 0.141237169271335
Q811D0|DLG1: 0.14123524570216736
P28651|CAH8: 0.14110028619567552
Q3UHB1|NT5D3: 0.1410933764030536
Q91VZ6|SMAP1: 0.14088734270383915
P08752|GNAI2: 0.1405775472521782
Q8CAA7|PGM2L: 0.14044724003179
Q8BHZ0|FA49A: 0.1402600728906691
Q8BL97|SRSF7: 0.1398708838969469
P62918|RL8: 0.13969269394874573
Q8BH66|ATLA1: 0.13967493424812952
Q71M36|CSPG5: 0.13964296652314565
F8VPU2|FARP1: 0.13954570206503072
Q61656|DDX5: 0.13945504743605852
O35098|DPYL4: 0.13925762358121574
P57759|ERP29: 0.13923805998638272
P35585|AP1M1: 0.1389053879926602
Q9D892|ITPA: 0.13877990220983824
O08795|GLU2B: 0.13874277689804634
Q8K400|STXB5: 0.13861662118385235
P40240|CD9: 0.13861213251948357
Q9QYX7|PCLO: 0.1385346508274476
P57746|VATD: 0.13845573241511977
Q9CR62|M2OM: 0.13833522299925483
Q9Z0R4|ITSN1: 0.13818817042435208
Q9JLB0|MPP6: 0.138186345808208
Q78IK2|USMG5: 0.1377897510925929
Q9D8W5|PSD12: 0.13765559624880552
Q9ERS2|NDUAD: 0.13737957365810868
P17427|AP2A2: 0.13737283647060394
Q9D7X3|DUS3: 0.13723451768358547
P58771|TPM1: 0.1371899307705462
Q91ZA3|PCCA: 0.13684501809378466
P35283|RAB12: 0.13679765304550529
P62821|RAB1A: 0.13679238455370069
Q9Z0H4|CELF2: 0.13669677264988422
P33173|KIF1A: 0.13638124459733567
Q9R0P5|DEST: 0.13638111328085256
P32921|SYWC: 0.13616815457741419
Q91XU3|PI42C: 0.1360270583536476
P42125|ECI1: 0.1360138664022088
P63323|RS12: 0.13588666108747324
P06837|NEUM: 0.13583302001158404
Q8CGY8|OGT1: 0.13577191981797418
O08788|DCTN1: 0.1357159532296161
Q3THE2|ML12B: 0.13570910785347223
Q60634|FLOT2: 0.13565531435112158
Q61016|GBG7: 0.13526530005037787
P61202|CSN2: 0.13508488268901905
Q9WUM5|SUCA: 0.13485104839007056
Q60865|CAPR1: 0.13469318145265183
Q9EPN1|NBEA: 0.1346545179064075
Q9R1T4|SEPT6: 0.13457152992486954
Q6P1B1|XPP1: 0.13429131048421064
P61358|RL27: 0.13399642426520586
P48036|ANXA5: 0.13389769072333968
