P33173|KIF1A: -15.2867141068199
Q9D1G5|LRC57: -15.282651909557961
Q9CQM5|TXD17: -15.2818289182254
P20060|HEXB: -15.276999038022721
Q9DAK9|PHP14: -15.268191494217168
Q8C729|F126B: -15.255767048101976
O08547|SC22B: -15.249966729634071
O54829|RGS7: -15.235553576372237
P60122|RUVB1: -15.224452719771776
Q9D832|DNJB4: -15.219305597331699
Q9JIW9|RALB: -15.202620477955698
Q0VBF8|STUM: -15.187108842883703
Q8BFY6|PEF1: -15.184963189284067
Q99M71|EPDR1: -15.077883886507857
Q921M3|SF3B3: -15.077102804433565
Q6WVG3|KCD12: -15.055249104383485
O08914|FAAH1: -15.026655659515047
Q9DC07|LNEBL: -14.989931231760943
Q9Z268|RASL1: -14.980882580054018
Q61656|DDX5: -14.9807784616565
Q920P5|KAD5: -14.976271958458815
P14115|RL27A: -14.975776211605734
Q99KP6|PRP19: -14.97130863895826
P70441|NHRF1: -14.936722998988254
P37040|NCPR: -14.90017390427012
Q9D3A9|TTYH1: -14.891348819068494
Q62433|NDRG1: -14.877359639834953
Q9QXL2|KI21A: -14.8646205761676
P14685|PSMD3: -14.864144539527217
Q8R0S4|CACB4: -14.831454932504695
Q6R891|NEB2: -14.827060710808894
Q8BGT8|PHIPL: -14.79349726921804
Q7TME0|PLPR4: -14.754397813713256
Q9Z130|HNRDL: -14.721427683673635
Q99PU5|ACBG1: -14.720665108254497
Q69Z98|BRSK2: -14.717707835717404
P03911|NU4M: -14.692328520273511
Q9DB15|RM12: -14.680238478347293
P21278|GNA11: -14.609722016100951
Q8R464|CADM4: -14.606752061370349
P70414|NAC1: -14.60193192178327
O35682|MYADM: -14.57556352885959
P08003|PDIA4: -14.503478607891022
Q9CQF3|CPSF5: -14.427028632744667
Q9CYN9|RENR: -14.420521188263308
Q9D6U8|F162A: -14.414560711729209
Q6X893|CTL1: -14.384921606453338
P97351|RS3A: -14.38393016288793
P53986|MOT1: -14.38338899476278
Q80TM9|NISCH: -14.376225152803775
Q8K3H0|DP13A: -14.367919315121823
Q8C078|KKCC2: -14.3237167258408
Q3TEA8|HP1B3: -14.30965639746335
O55013|TPPC3: -14.30915185917283
Q8VCT3|AMPB: -14.296460199420839
P47802|MTX1: -14.27101777365213
Q3UYC0|PPM1H: -14.249092020246655
O88990|ACTN3: -14.245693561270349
Q9JL62|GLTP: -14.242704193278016
Q9D0I9|SYRC: -14.238242243757748
Q9DB27|MCTS1: -14.237733058394266
Q91ZP9|NECA2: -14.195244678747546
Q9Z0N1|IF2G: -14.13078184119311
Q3THK7|GUAA: -14.123973309106182
Q3UEB3|PUF60: -14.106199112730774
O88531|PPT1: -14.103371567622192
P14824|ANXA6: -14.088772315746239
P70232|NCHL1: -14.08395938054361
E9Q557|DESP: -14.03092235827936
Q9Z1N5|DX39B: -13.999576448719386
Q8VHK5|MLC1: -13.952140288468367
Q61411|RASH: -13.94857502560734
O88487|DC1I2: -13.93212122971468
Q61035|SYHC: -13.925147690785183
Q8CC35|SYNPO: -13.91735493432735
O70133|DHX9: -13.908409176578882
Q9CWJ9|PUR9: -13.898802519592234
P61924|COPZ1: -13.882952339261085
P24288|BCAT1: -13.875670122653629
Q5DQR4|STB5L: -13.870292472471025
P19253|RL13A: -13.849826653174384
P34022|RANG: -13.849230291502963
Q99L43|CDS2: -13.848773855095883
Q8BJI1|S6A17: -13.844115549984965
Q9QYS2|GRM3: -13.822083188532039
Q9Z0J4|NOS1: -13.817608265759858
Q6ZQI3|MLEC: -13.80856092564091
Q61081|CDC37: -13.802626984354426
P97390|VPS45: -13.783511938463953
Q9CPY7|AMPL: -13.781205815542366
Q8BKX6|SMG1: -13.780434241486526
Q9CZT8|RAB3B: -13.761937066249105
Q9JK48|SHLB1: -13.727856899666085
Q9CQE8|RTRAF: -13.72436290884701
Q3TMH2|SCRN3: -13.716130918612016
P99026|PSB4: -13.680298646867826
P35235|PTN11: -13.668835589698674
Q99LI8|HGS: -13.645777369486296
P63276|RS17: -13.610402927404696
Q9JM14|NT5C: -13.59588450142736
Q99LD8|DDAH2: -13.581207271361036
Q8JZQ2|AFG32: -13.578862788811334
Q99L13|3HIDH: -13.577659024370877
Q01097|NMDE2: -13.577054434788867
Q61187|TS101: -13.573542514339163
P62855|RS26: -13.556059138456337
Q9D5T0|ATAD1: -13.534334146851533
O89051|ITM2B: -13.524278620633549
P09405|NUCL: -13.508989307097824
P0C7L0|WIPF3: -13.507023995537377
O70318|E41L2: -13.461839951674866
Q9D0F9|PGM1: -13.459476546692228
Q99JI4|PSMD6: -13.429006134561943
Q8C052|MAP1S: -13.413399996205714
Q8C167|PPCEL: -13.391250472232986
Q9Z2I8|SUCB2: -13.378970150926989
Q9D0S9|HINT2: -13.35598906187348
Q6PHZ2|KCC2D: -13.343839428203909
Q8CGK3|LONM: -13.332835077298721
P20352|TF: -13.321933371959483
Q60749|KHDR1: -13.306933173177729
Q9D1M0|SEC13: -13.289696152703497
Q91VW3|SH3L3: -13.276864757287175
P28667|MRP: -13.274222373605927
Q99JI6|RAP1B: -13.273781837816443
Q9CXW3|CYBP: -13.244881551517661
P62812|GBRA1: -13.223795853355465
P70336|ROCK2: -13.21887648340578
O70252|HMOX2: -13.17094782119736
Q4VAE3|TMM65: -13.15372184287651
Q9CZ42|NNRD: -13.122866524036164
Q9EQU5|SET: -13.098570459796187
Q99104|MYO5A: -13.086247932783516
P70297|STAM1: -13.048924982401118
P57776|EF1D: -13.04576149373309
Q9DCZ4|MIC26: -13.043320195585473
Q91Z67|SRGP2: -13.028462268306582
Q9R257|HEBP1: -13.015669833471833
